name,description,latitude,longitude,url
Aboa,Finnish Antarctic Research Program. Summer,-73.05,-13.41667,https://en.wikipedia.org/wiki/Aboa_(research_station)
Almirante Brown Antarctic Base (Argentina),Argentine Antarctica. Summer,-64.88333,-62.88333,https://en.wikipedia.org/wiki/Brown_Station
Amundsen-Scott South Pole Station (United States),United States Antarctic Program. Permanent,-90.0,0.0,https://en.wikipedia.org/wiki/Amundsen%E2%80%93Scott_South_Pole_Station
Artigas Base (Uruguay),Uruguayan Antarctic Institute. Permanent,-62.175,-58.86167,https://en.wikipedia.org/wiki/Artigas_Base
Asuka Station,unmanned observation,-71.52611,24.13806,https://en.wikipedia.org/wiki/Asuka_Station
Base Presidente Eduardo Frei Montalva and Villa Las Estrellas (Chile),Chilean Air Force Permanent,-62.195,-58.97833,https://en.wikipedia.org/wiki/Base_Presidente_Eduardo_Frei_Montalva
Belgrano II (Argentina),Laboratory and meteorological station.  Permanent,-77.86667,-34.61667,https://en.wikipedia.org/wiki/Belgrano_II_Base
Bellingshausen Station (Russia),Russian Antarctic Research Station. Permanent,-62.19639,-58.96083,https://en.wikipedia.org/wiki/Bellingshausen_Station
Bernardo O'Higgins Station (Chile),Chilian Army. Permanent,-63.31667,-57.9,https://en.wikipedia.org/wiki/Base_General_Bernardo_O%27Higgins_Riquelme
Byrd Station (United States),United States Antarctic Program  Summer,-80.01667,-119.53333,https://en.wikipedia.org/wiki/Byrd_Station
Captain Arturo Prat Base (Chile),Chilean Navy Permanent,-62.5,-59.68333,https://en.wikipedia.org/wiki/Captain_Arturo_Prat_Base
Casey Station (Australia),Australian Antarctic Division Permanent,-66.28333,110.53333,https://en.wikipedia.org/wiki/Casey_Station
Comandante Ferraz (Brazil),Permanent,-62.085,-58.40333,https://en.wikipedia.org/wiki/Comandante_Ferraz_Antarctic_Station
Concordia Station (France Italy),Permanent,-75.1,123.33333,https://en.wikipedia.org/wiki/Concordia_Station
Dakshin Gangotri Station (India),Indian Antarctic Program Abandoned,-70.75,11.76667,https://en.wikipedia.org/wiki/Dakshin_Gangotri
Davis Station (Australia),Australian Antarctic Division Permanent,-68.58333,77.96667,https://en.wikipedia.org/wiki/Davis_Station
Dome Fuji Station (Japan),National Institute of Polar Research Permanent,-77.31694,39.70333,https://en.wikipedia.org/wiki/Dome_F
Dumont d'Urville Station (France),Permanent,-66.66667,140.0,https://en.wikipedia.org/wiki/Dumont_d%27Urville_Station
Esperanza Base (Argentina),"Laboratory and meteorological station, radio, a school, and tourist facilities. Permanent",-63.4,-57.0,https://en.wikipedia.org/wiki/Esperanza_Base
Gabriel de Castilla (Spain),Marine biology  Summer,-62.96667,-60.68333,https://en.wikipedia.org/wiki/Gabriel_de_Castilla_Base
Georg von Neumayer Station (Germany),Alfred Wegener Institute  Replaced by Neumayer Station,-70.61667,-8.36667,https://en.wikipedia.org/wiki/Neumayer-Station_II
Gonzalez Videla Station (Chile),?  Summer,-64.81667,-62.86667,https://en.wikipedia.org/wiki/Gonz%C3%A1lez_Videla_Antarctic_Base
Great Wall Station (China),Meteorology Permanent,-62.21667,-58.97,https://en.wikipedia.org/wiki/Great_Wall_Station_(Antarctica)
Halley Research Station (United Kingdom),British Antarctic Survey Permanent,-75.58333,-26.56667,https://en.wikipedia.org/wiki/Halley_Research_Station
Henryk Arctowski (Poland),"Oceanobiology, Oceanography, Geology, Geomorphology, Glaciology, Meteorology, Climatology, Seismology, Magnetism and Ecology. Permanent",-62.15333,-58.48167,https://en.wikipedia.org/wiki/Henryk_Arctowski_Polish_Antarctic_Station
Jinnah (Pakistan),Pakistan Antarctic Programme. Summer,-70.4,25.75,https://en.wikipedia.org/wiki/Jinnah_Antarctic_Station
Juan Carlos I Base (Spain),"CSIC. Laboratory, investigation and meteorogical station, Summer",-62.65,-60.38333,https://en.wikipedia.org/wiki/Juan_Carlos_I_Antarctic_Base
Jubany (Argentina),"Animal life, meteorology Permanent",-62.23667,-58.67667,https://en.wikipedia.org/wiki/Carlini_Base
King Sejong Station (South Korea),Korea Antarctic Research Program. Permanent,-62.22,-58.78333,https://en.wikipedia.org/wiki/King_Sejong_Station
Kohnen-Station (Germany),Alfred Wegener Institute. Summer,-70.0,0.06667,https://en.wikipedia.org/wiki/Kohnen_Station
Kunlun Station (China),Chinese Arctic and Antarctic Administration Summer,-80.41694,77.11611,https://en.wikipedia.org/wiki/Kunlun_Station_(Antarctica)
Law-Racoviță Station (Romania),Romanian Polar Research Institute Summer,-69.38333,76.38333,https://en.wikipedia.org/wiki/Law-Racovi%C8%9B%C4%83_Station
Leningradskaya Station (Russia),Russian Antarctic Expedition,-69.5,159.38333,https://en.wikipedia.org/wiki/Leningradskaya_Station
Machu Picchu Research Station (Peru),Summer,-62.09,-58.46833,https://en.wikipedia.org/wiki/Machu_Picchu_Base
Macquarie Island Station (Australia),Australian Antarctic Division Permanent,-54.5,158.95,https://en.wikipedia.org/wiki/Macquarie_Island_Station
Maitri Station (India),Indian Antarctic Program Permanent,-70.75967,11.726,https://en.wikipedia.org/wiki/Maitri
Marambio Base (Argentina),"Laboratory, meteorological station Permanent",-64.23333,-56.61667,https://en.wikipedia.org/wiki/Marambio_Base
Mario Zucchelli Station (Italy),"Oceanobiology, Oceanography, Geology, Geomorphology, Glaciology, Meteorology, Climatology, Seismology, Magnetism and Ecology. Summer",-74.7,164.11667,https://en.wikipedia.org/wiki/Zucchelli_Station
Mawson Station (Australia),Australian Antarctic Division. Permanent,-67.6,62.88333,https://en.wikipedia.org/wiki/Mawson_Station
McMurdo Station (United States),Permanent,-77.85,166.66667,https://en.wikipedia.org/wiki/McMurdo_Station
Mendel Polar Station (Czech Republic),"biological, geological and climate research Summer",-63.8,-57.86667,https://en.wikipedia.org/wiki/Mendel_Polar_Station
Mirny Station (Russia),"glaciology, seismology, meteorology, polar lights, cosmic radiation, and marine biology, Permanent",-66.55194,93.01472,https://en.wikipedia.org/wiki/Mirny_Station
Mizuho Station (Japan),National Institute of Polar Research.  Irregular (transshipment station),-70.69806,44.33167,https://en.wikipedia.org/wiki/Mizuho_Station_(Antarctica)
